	error_test	error_train	k
0	714685.4017651466	717934.6166340783	1
1	659834.9503947626	660310.7511734145	2
2	631029.7142600946	624319.1576892725	3
3	606288.6643037683	595688.4974091775	4
4	581648.3594098168	568425.5419463884	5
5	563780.4414223416	549271.1824557192	6
6	553278.843643218	533692.5776801156	7
7	543261.6063268422	517884.5339119793	8
8	534685.0823876616	505119.9873878445	9
9	526167.1642015235	493698.912915665	10
10	518720.7060798286	482600.5119509981	11
11	511625.24542168516	473373.6575758023	12
12	505259.7324848056	464613.1359302976	13
13	500534.3314161297	456560.6112438375	14
14	497035.2552631828	448781.7346244191	15
15	493090.08040633955	441615.8830148948	16
16	487496.8085420132	434356.57110760384	17
17	483339.1547631306	427721.58199889475	18
18	478928.04168134386	421668.6370262977	19
19	475785.07840137713	415838.0330695833	20
20	472625.70270077465	410126.1983757167	21
21	469396.0400351814	404795.8684851399	22
22	467251.72032777686	399595.8166370947	23
23	464727.34376318456	394698.6112030478	24
24	462011.6072919655	389820.9600960293	25
25	459627.0018321882	385284.67903476546	26
26	457374.54589500255	380729.28951867134	27
27	455085.0791190546	376363.7612333305	28
28	452778.165654856	371983.373093525	29
29	450610.79134377954	367819.26884090167	30
30	448466.5238388671	363792.75206051616	31
31	445773.52254365454	360065.21860563324	32
32	444230.6901989711	356079.77191540133	33
33	442383.0274357366	352372.4960610982	34
34	440759.5844449329	348673.835809852	35
35	439332.9545310183	345032.72958455817	36
36	437731.07742171676	341398.5715287095	37
37	436374.62141307053	338035.86141578446	38
38	434726.5756424433	334654.31709552056	39
39	433267.3281408814	331322.40756756876	40
40	431756.85759518354	328006.36904165597	41
41	430752.12255911506	324737.46556191286	42
42	429289.10154291004	321679.55399494234	43
43	427937.0765584257	318730.3419767498	44
44	426222.99833923875	315724.3669876226	45
45	425205.3148553232	312685.87866263674	46
46	423747.9830529289	309803.69852889027	47
47	422297.6864693007	306898.79823536944	48
48	421018.18374673196	304108.8020102763	49
49	419856.5463042755	301259.48880525446	50
50	418755.8764589665	298555.08896721475	51
51	417896.0721292781	295843.8692353418	52
52	417011.32049179735	293175.7421415204	53
53	415974.80813818437	290563.01517586573	54
54	415224.94605818763	287945.36737359245	55
55	414610.5881438838	285492.41740334244	56
56	413875.8520212169	283052.34208956547	57
57	412874.11002999154	280662.809034977	58
58	412239.63899450947	278304.2369029412	59
59	411561.49851256143	275992.67865895206	60
60	410805.42825990723	273534.8964524038	61
61	409943.4261491436	271219.99257490574	62
62	409290.0038581585	268926.184987042	63
63	408587.13803643803	266680.89029176533	64
64	407951.9670359688	264470.7262935325	65
65	407369.9321906225	262282.803522889	66
66	406763.65980638895	260063.33446689052	67
67	406161.41636122373	257791.17198771663	68
68	405578.99724003335	255631.1532401524	69
69	404908.7231160397	253448.26040636055	70
70	404193.0845007339	251267.90652321503	71
71	403346.01516857324	249138.05530676967	72
72	402763.1279267564	247071.21453989067	73
73	402152.38856254047	244923.8130301169	74
74	401553.3851187	242859.1086834183	75
75	400962.0789346155	240748.4481963486	76
76	400536.6775627914	238705.12941530225	77
77	400043.6998397944	236653.77080338195	78
78	399471.94693776936	234573.3338098273	79
79	398995.6999641541	232538.37526264248	80
80	398420.14083220315	230520.2039230129	81
81	397750.30246077804	228587.70179573464	82
82	397089.6895761584	226639.74051352587	83
83	396534.99267320475	224605.42080314062	84
84	396032.1240136575	222706.92943313587	85
85	395535.0899221377	220793.62040241604	86
86	395105.95999126683	218933.9311152789	87
87	394674.5852187817	217010.3666186828	88
88	394155.8854425731	215114.6058153563	89
89	393810.5097080764	213242.05122172006	90
90	393475.56812687695	211334.42737503487	91
91	393051.0623552527	209459.9963640322	92
92	392659.73290197924	207653.99318951453	93
93	392242.0174849226	205804.72039431683	94
94	391799.7429378429	204015.85799173033	95
95	391333.6905045012	202185.8352720319	96
96	390878.71563319274	200367.96522836707	97
97	390415.8374754351	198506.49441155666	98
98	390014.0973281798	196659.1552285211	99
99	389640.7533485042	194869.83486096148	100
100	389275.6029494222	193031.79933456975	101
101	388955.1728969648	191224.33613387914	102
102	388599.21877150505	189428.95746473927	103
103	388219.1651507757	187621.39778923232	104
104	387873.8721285186	185897.95189129648	105
105	387514.1430426889	184172.45201555052	106
106	387171.652275937	182458.2094357637	107
107	386912.9800858634	180650.74607324434	108
108	386473.8597044042	178908.81286878866	109
109	386110.5440066424	177172.45512467047	110
110	385733.73792606016	175463.74540608271	111
111	385458.5633023716	173733.44551674876	112
112	385189.6145743963	172069.88116115236	113
113	384852.78830763325	170370.09884734597	114
114	384490.6942339333	168627.2000033252	115
115	384208.4415323845	166964.00895423396	116
116	383897.5199801292	165269.08820809657	117
117	383563.2584511724	163487.59086444945	118
118	383210.32452614454	161747.0725418963	119
119	382905.8886786878	160055.76356621797	120
120	382604.4747714855	158333.8223825867	121
121	382316.6201595653	156611.19656105226	122
122	382012.67114187975	154906.01319924323	123
123	381739.5680644126	153163.48936978343	124
124	381397.5752912321	151444.42353369237	125
125	381105.8494886035	149667.52640493235	126
126	380798.53861736855	147906.43981723496	127
127	380536.01894315594	146087.71209665778	128
