Sample ID	Known cluster	Identified cluster
orl006.bmp	1	1
orl007.bmp	1	1
orl008.bmp	1	1
orl009.bmp	1	1
orl010.bmp	1	1
orl016.bmp	2	2
orl017.bmp	2	2
orl018.bmp	2	2
orl019.bmp	2	2
orl020.bmp	2	2
orl026.bmp	3	3
orl027.bmp	3	3
orl028.bmp	3	3
orl029.bmp	3	3
orl030.bmp	3	3
orl036.bmp	4	4
orl037.bmp	4	4
orl038.bmp	4	4
orl039.bmp	4	4
orl040.bmp	4	4
orl046.bmp	5	5
orl047.bmp	5	5
orl048.bmp	5	5
orl049.bmp	5	5
orl050.bmp	5	40
orl056.bmp	6	6
orl057.bmp	6	6
orl058.bmp	6	6
orl059.bmp	6	6
orl060.bmp	6	6
orl066.bmp	7	7
orl067.bmp	7	7
orl068.bmp	7	7
orl069.bmp	7	7
orl070.bmp	7	7
orl076.bmp	8	8
orl077.bmp	8	8
orl078.bmp	8	8
orl079.bmp	8	8
orl080.bmp	8	8
orl086.bmp	9	9
orl087.bmp	9	9
orl088.bmp	9	9
orl089.bmp	9	9
orl090.bmp	9	9
orl096.bmp	10	10
orl097.bmp	10	10
orl098.bmp	10	10
orl099.bmp	10	10
orl100.bmp	10	4
orl106.bmp	11	11
orl107.bmp	11	11
orl108.bmp	11	11
orl109.bmp	11	11
orl110.bmp	11	11
orl116.bmp	12	12
orl117.bmp	12	12
orl118.bmp	12	12
orl119.bmp	12	12
orl120.bmp	12	12
orl126.bmp	13	18
orl127.bmp	13	13
orl128.bmp	13	13
orl129.bmp	13	13
orl130.bmp	13	13
orl136.bmp	14	28
orl137.bmp	14	28
orl138.bmp	14	28
orl139.bmp	14	11
orl140.bmp	14	14
orl146.bmp	15	15
orl147.bmp	15	15
orl148.bmp	15	15
orl149.bmp	15	15
orl150.bmp	15	15
orl156.bmp	16	16
orl157.bmp	16	16
orl158.bmp	16	25
orl159.bmp	16	16
orl160.bmp	16	16
orl166.bmp	17	36
orl167.bmp	17	36
orl168.bmp	17	36
orl169.bmp	17	36
orl170.bmp	17	36
orl176.bmp	18	18
orl177.bmp	18	18
orl178.bmp	18	18
orl179.bmp	18	18
orl180.bmp	18	18
orl186.bmp	19	19
orl187.bmp	19	19
orl188.bmp	19	19
orl189.bmp	19	11
orl190.bmp	19	19
orl196.bmp	20	20
orl197.bmp	20	20
orl198.bmp	20	20
orl199.bmp	20	20
orl200.bmp	20	20
orl206.bmp	21	21
orl207.bmp	21	21
orl208.bmp	21	21
orl209.bmp	21	21
orl210.bmp	21	21
orl216.bmp	22	22
orl217.bmp	22	22
orl218.bmp	22	22
orl219.bmp	22	22
orl220.bmp	22	22
orl226.bmp	23	23
orl227.bmp	23	23
orl228.bmp	23	23
orl229.bmp	23	23
orl230.bmp	23	38
orl236.bmp	24	24
orl237.bmp	24	24
orl238.bmp	24	24
orl239.bmp	24	24
orl240.bmp	24	24
orl246.bmp	25	25
orl247.bmp	25	25
orl248.bmp	25	25
orl249.bmp	25	25
orl250.bmp	25	25
orl256.bmp	26	26
orl257.bmp	26	28
orl258.bmp	26	26
orl259.bmp	26	26
orl260.bmp	26	26
orl266.bmp	27	17
orl267.bmp	27	11
orl268.bmp	27	11
orl269.bmp	27	27
orl270.bmp	27	27
orl276.bmp	28	28
orl277.bmp	28	28
orl278.bmp	28	37
orl279.bmp	28	28
orl280.bmp	28	28
orl286.bmp	29	29
orl287.bmp	29	29
orl288.bmp	29	29
orl289.bmp	29	29
orl290.bmp	29	29
orl296.bmp	30	30
orl297.bmp	30	30
orl298.bmp	30	30
orl299.bmp	30	30
orl300.bmp	30	30
orl306.bmp	31	31
orl307.bmp	31	21
orl308.bmp	31	9
orl309.bmp	31	21
orl310.bmp	31	31
orl316.bmp	32	32
orl317.bmp	32	2
orl318.bmp	32	32
orl319.bmp	32	32
orl320.bmp	32	2
orl326.bmp	33	21
orl327.bmp	33	33
orl328.bmp	33	33
orl329.bmp	33	33
orl330.bmp	33	33
orl336.bmp	34	34
orl337.bmp	34	34
orl338.bmp	34	34
orl339.bmp	34	34
orl340.bmp	34	34
orl346.bmp	35	35
orl347.bmp	35	25
orl348.bmp	35	35
orl349.bmp	35	35
orl350.bmp	35	35
orl356.bmp	36	24
orl357.bmp	36	36
orl358.bmp	36	36
orl359.bmp	36	36
orl360.bmp	36	17
orl366.bmp	37	37
orl367.bmp	37	37
orl368.bmp	37	37
orl369.bmp	37	37
orl370.bmp	37	37
orl376.bmp	38	38
orl377.bmp	38	38
orl378.bmp	38	38
orl379.bmp	38	38
orl380.bmp	38	38
orl386.bmp	39	39
orl387.bmp	39	39
orl388.bmp	39	39
orl389.bmp	39	39
orl390.bmp	39	39
orl396.bmp	40	40
orl397.bmp	40	40
orl398.bmp	40	40
orl399.bmp	40	40
orl400.bmp	40	5
