Sample ID	Known cluster	Identified cluster
orl006.bmp	1	35
orl007.bmp	1	35
orl008.bmp	1	35
orl009.bmp	1	35
orl010.bmp	1	35
orl016.bmp	2	2
orl017.bmp	2	2
orl018.bmp	2	2
orl019.bmp	2	2
orl020.bmp	2	2
orl026.bmp	3	35
orl027.bmp	3	35
orl028.bmp	3	35
orl029.bmp	3	35
orl030.bmp	3	35
orl036.bmp	4	35
orl037.bmp	4	35
orl038.bmp	4	35
orl039.bmp	4	35
orl040.bmp	4	35
orl046.bmp	5	35
orl047.bmp	5	35
orl048.bmp	5	35
orl049.bmp	5	35
orl050.bmp	5	35
orl056.bmp	6	38
orl057.bmp	6	38
orl058.bmp	6	38
orl059.bmp	6	38
orl060.bmp	6	38
orl066.bmp	7	6
orl067.bmp	7	6
orl068.bmp	7	6
orl069.bmp	7	6
orl070.bmp	7	6
orl076.bmp	8	38
orl077.bmp	8	38
orl078.bmp	8	38
orl079.bmp	8	38
orl080.bmp	8	38
orl086.bmp	9	35
orl087.bmp	9	35
orl088.bmp	9	35
orl089.bmp	9	35
orl090.bmp	9	35
orl096.bmp	10	37
orl097.bmp	10	37
orl098.bmp	10	37
orl099.bmp	10	25
orl100.bmp	10	23
orl106.bmp	11	2
orl107.bmp	11	33
orl108.bmp	11	33
orl109.bmp	11	33
orl110.bmp	11	30
orl116.bmp	12	35
orl117.bmp	12	35
orl118.bmp	12	35
orl119.bmp	12	35
orl120.bmp	12	35
orl126.bmp	13	35
orl127.bmp	13	35
orl128.bmp	13	35
orl129.bmp	13	35
orl130.bmp	13	35
orl136.bmp	14	2
orl137.bmp	14	2
orl138.bmp	14	2
orl139.bmp	14	2
orl140.bmp	14	2
orl146.bmp	15	2
orl147.bmp	15	18
orl148.bmp	15	24
orl149.bmp	15	1
orl150.bmp	15	18
orl156.bmp	16	33
orl157.bmp	16	35
orl158.bmp	16	1
orl159.bmp	16	35
orl160.bmp	16	35
orl166.bmp	17	7
orl167.bmp	17	7
orl168.bmp	17	7
orl169.bmp	17	7
orl170.bmp	17	7
orl176.bmp	18	35
orl177.bmp	18	35
orl178.bmp	18	35
orl179.bmp	18	35
orl180.bmp	18	35
orl186.bmp	19	33
orl187.bmp	19	33
orl188.bmp	19	33
orl189.bmp	19	23
orl190.bmp	19	2
orl196.bmp	20	35
orl197.bmp	20	35
orl198.bmp	20	35
orl199.bmp	20	35
orl200.bmp	20	35
orl206.bmp	21	35
orl207.bmp	21	35
orl208.bmp	21	35
orl209.bmp	21	35
orl210.bmp	21	35
orl216.bmp	22	35
orl217.bmp	22	35
orl218.bmp	22	35
orl219.bmp	22	35
orl220.bmp	22	35
orl226.bmp	23	35
orl227.bmp	23	35
orl228.bmp	23	35
orl229.bmp	23	35
orl230.bmp	23	35
orl236.bmp	24	35
orl237.bmp	24	35
orl238.bmp	24	35
orl239.bmp	24	35
orl240.bmp	24	35
orl246.bmp	25	35
orl247.bmp	25	35
orl248.bmp	25	35
orl249.bmp	25	35
orl250.bmp	25	35
orl256.bmp	26	35
orl257.bmp	26	35
orl258.bmp	26	35
orl259.bmp	26	35
orl260.bmp	26	35
orl266.bmp	27	35
orl267.bmp	27	35
orl268.bmp	27	18
orl269.bmp	27	15
orl270.bmp	27	2
orl276.bmp	28	35
orl277.bmp	28	33
orl278.bmp	28	35
orl279.bmp	28	2
orl280.bmp	28	35
orl286.bmp	29	35
orl287.bmp	29	35
orl288.bmp	29	35
orl289.bmp	29	35
orl290.bmp	29	35
orl296.bmp	30	35
orl297.bmp	30	35
orl298.bmp	30	35
orl299.bmp	30	35
orl300.bmp	30	35
orl306.bmp	31	35
orl307.bmp	31	35
orl308.bmp	31	35
orl309.bmp	31	35
orl310.bmp	31	35
orl316.bmp	32	33
orl317.bmp	32	29
orl318.bmp	32	2
orl319.bmp	32	30
orl320.bmp	32	33
orl326.bmp	33	35
orl327.bmp	33	35
orl328.bmp	33	35
orl329.bmp	33	35
orl330.bmp	33	35
orl336.bmp	34	35
orl337.bmp	34	35
orl338.bmp	34	35
orl339.bmp	34	35
orl340.bmp	34	35
orl346.bmp	35	35
orl347.bmp	35	35
orl348.bmp	35	35
orl349.bmp	35	35
orl350.bmp	35	35
orl356.bmp	36	6
orl357.bmp	36	6
orl358.bmp	36	6
orl359.bmp	36	36
orl360.bmp	36	6
orl366.bmp	37	29
orl367.bmp	37	35
orl368.bmp	37	33
orl369.bmp	37	35
orl370.bmp	37	35
orl376.bmp	38	35
orl377.bmp	38	35
orl378.bmp	38	35
orl379.bmp	38	35
orl380.bmp	38	35
orl386.bmp	39	35
orl387.bmp	39	35
orl388.bmp	39	35
orl389.bmp	39	35
orl390.bmp	39	35
orl396.bmp	40	35
orl397.bmp	40	35
orl398.bmp	40	35
orl399.bmp	40	35
orl400.bmp	40	35
